Date,Original,Prediction
2019-02-21,697.0,683.9301147460938
2019-02-22,702.0000000000001,687.9937744140625
2019-02-25,704.5,685.3292236328125
2019-02-26,709.9,685.037353515625
2019-02-27,717.0,687.6464233398438
2019-02-28,709.5499999999998,690.808837890625
2019-03-01,702.45,703.7608032226562
2019-03-05,733.85,694.1959838867188
2019-03-06,719.2,687.9927978515625
2019-03-07,734.25,707.7809448242188
2019-03-08,732.3,702.5010375976562
2019-03-11,736.6,715.0204467773438
2019-03-12,741.95,713.9109497070312
2019-03-13,738.8,718.7139892578125
2019-03-14,741.3000000000001,724.5664672851562
2019-03-15,736.5,722.0358276367188
2019-03-18,754.4,724.0313110351562
2019-03-19,761.2,719.3406982421875
2019-03-20,754.5,733.7179565429688
2019-03-22,760.5,738.825439453125
2019-03-25,745.35,737.6571655273438
2019-03-26,760.7,740.5789184570312
2019-03-27,760.5,725.8395385742188
2019-03-28,775.8,737.3208618164062
2019-03-29,775.2,743.609619140625
2019-04-01,762.5,753.0784912109375
2019-04-02,770.0,753.0546264648438
2019-04-03,761.2,744.4396362304688
2019-04-05,764.0,748.9876708984375
2019-04-08,755.0,743.5075073242188
2019-04-09,765.55,744.9114990234375
2019-04-10,760.5,737.6514282226562
2019-04-11,751.25,744.9127807617188
2019-04-18,770.05,744.2735595703125
2019-04-22,755.05,734.3433227539062
2019-04-23,753.1,756.2959594726562
2019-04-24,750.9,736.2620239257812
2019-04-25,741.3000000000001,735.9327392578125
2019-04-26,757.4,730.5671997070312
2019-04-30,765.0,728.7252807617188
2019-05-02,751.9499999999999,741.0494995117188
2019-05-03,754.9,746.0717163085938
2019-05-06,748.0,734.4676513671875
2019-05-07,744.85,739.6200561523438
2019-05-08,735.1,730.35546875
2019-05-09,732.35,729.2246704101562
2019-05-10,732.55,721.4329833984375
2019-05-13,732.0,719.6535034179688
2019-05-14,732.2,719.5321655273438
2019-05-15,717.35,720.180908203125
2019-05-16,733.5500000000001,715.4844360351562
2019-05-17,750.3,706.2325439453125
2019-05-20,782.5,716.1277465820312
2019-05-21,773.1,727.0670166015625
2019-05-22,778.0,759.3309936523438
2019-05-23,776.15,752.1618041992188
2019-05-24,791.65,752.3611450195312
2019-05-27,814.0000000000001,755.352783203125
2019-05-28,808.0,766.3716430664062
2019-05-29,802.65,781.1431274414062
2019-05-30,808.7499999999999,783.2518310546875
