Date,Original,last 10 years model prediction
2020-01-14,12362.299804687498,12422.0576171875
2020-01-15,12343.299804687498,12439.783203125
2020-01-16,12355.5,12462.08203125
2020-01-17,12352.349609375,12432.587890625
2020-01-20,12224.5498046875,12466.5341796875
2020-01-21,12169.849609375,12468.0908203125
2020-01-22,12106.900390625,12410.951171875
2020-01-23,12180.349609375,12284.248046875
2020-01-24,12248.25,12282.9541015625
2020-01-27,12119.0,12301.03125
2020-01-28,12055.7998046875,12386.2021484375
2020-01-29,12129.499999999998,12289.5537109375
2020-01-30,12035.7998046875,12207.2333984375
2020-01-31,11962.099609375,12282.3701171875
2020-02-03,11707.900390625,12213.8173828125
2020-02-04,11979.650390625,12137.46484375
2020-02-05,12089.150390624998,11775.150390625
2020-02-06,12137.9501953125,12106.96484375
2020-02-07,12098.349609374998,12258.1953125
2020-02-10,12031.5,12284.1513671875
2020-02-11,12107.900390624998,12226.8623046875
2020-02-12,12201.2001953125,12143.8212890625
2020-02-13,12174.650390625,12254.7451171875
2020-02-14,12113.450195312498,12326.4541015625
2020-02-17,12045.7998046875,12304.9111328125
2020-02-18,11992.5,12258.1337890625
2020-02-19,12125.900390625,12191.12890625
2020-02-20,12080.849609374998,12095.2607421875
2020-02-24,11829.400390624998,12266.025390625
2020-02-25,11797.900390625,12257.5830078125
2020-02-26,11678.5,11992.02734375
2020-02-27,11633.2998046875,11948.064453125
2020-02-28,11201.75,11852.2333984375
2020-03-02,11132.75,11776.1572265625
2020-03-03,11303.2998046875,11396.615234375
2020-03-04,11251.0,11387.4169921875
2020-03-05,11269.0,11470.037109375
2020-03-06,10989.4501953125,11448.619140625
2020-03-09,10451.4501953125,11483.953125
2020-03-11,10458.400390625,11057.216796875
2020-03-12,9590.150390625,10623.2822265625
2020-03-13,9955.2001953125,10604.3564453125
2020-03-16,9197.400390625,9912.9462890625
2020-03-17,8967.0498046875,9598.2783203125
2020-03-18,8468.7998046875,9670.4619140625
2020-03-19,8263.4501953125,9340.576171875
2020-03-20,8745.4501953125,8910.2548828125
2020-03-23,7610.249999999999,8338.6337890625
2020-03-24,7801.0498046875,8821.4501953125
2020-03-25,8317.849609375,8049.1328125
2020-03-26,8641.4501953125,7925.20068359375
2020-03-27,8660.25,8295.1455078125
2020-03-30,8281.099609375,8816.73828125
2020-03-31,8597.75,8933.2607421875
2020-04-01,8253.7998046875,8365.5634765625
2020-04-03,8083.7998046875,8584.197265625
2020-04-07,8792.2001953125,8478.609375
2020-04-08,8748.75,8241.185546875
2020-04-09,9111.900390625,8742.4609375
2020-04-13,8993.849609375,8996.5361328125
2020-04-15,8925.2998046875,9125.6943359375
2020-04-16,8992.7998046875,9084.95703125
2020-04-17,9266.75,9080.3291015625
2020-04-20,9261.849609375,8966.744140625
2020-04-21,8981.4501953125,9363.51171875
2020-04-22,9187.2998046875,9416.3056640625
2020-04-23,9313.900390625,9007.21484375
2020-04-24,9154.400390625,9181.8095703125
2020-04-27,9282.2998046875,9424.1220703125
2020-04-28,9380.900390625,9301.3984375
2020-04-29,9553.349609375,9399.845703125
2020-04-30,9859.900390625,9468.9521484375
2020-05-04,9293.5,9615.076171875
2020-05-05,9205.599609375,9960.9501953125
2020-05-06,9270.900390625,9416.84375
2020-05-07,9199.0498046875,9329.9716796875
2020-05-08,9251.5,9344.962890625
2020-05-11,9239.2001953125,9369.1591796875
2020-05-12,9196.5498046875,9457.96484375
2020-05-13,9383.5498046875,9438.6630859375
2020-05-14,9142.75,9257.3232421875
2020-05-15,9136.849609375,9624.224609375
2020-05-18,8823.25,9276.74609375
2020-05-19,8879.099609375,9221.46484375
2020-05-20,9066.5498046875,9075.6962890625
2020-05-21,9106.25,9040.35546875
2020-05-22,9039.25,9150.1435546875
2020-05-26,9029.0498046875,9285.6259765625
2020-05-27,9314.9501953125,9177.650390625
2020-05-28,9490.099609375,9177.138671875
2020-05-29,9580.2998046875,9314.6630859375
2020-06-01,9826.150390625,9591.0859375
2020-06-02,9979.099609375,9612.4931640625
2020-06-03,10061.5498046875,9925.41796875
2020-06-04,10029.099609375,10013.6533203125
2020-06-05,10142.150390625,10171.6689453125
2020-06-08,10167.4501953125,10070.9501953125
2020-06-09,10046.650390625,10179.279296875
2020-06-10,10116.150390625,10318.56640625
2020-06-11,9902.0,10184.087890625
2020-06-12,9972.900390625,10171.7578125
2020-06-15,9813.7001953125,10085.748046875
2020-06-16,9914.0,9867.30859375
2020-06-17,9881.150390625,10013.0048828125
2020-06-18,10091.650390625,10067.0263671875
2020-06-19,10244.400390625,10042.3974609375
2020-06-22,10311.2001953125,10135.0009765625
2020-06-23,10471.0,10353.470703125
2020-06-24,10305.2998046875,10467.923828125
2020-06-25,10288.900390625,10506.6552734375
2020-06-26,10383.0,10482.0693359375
2020-06-29,10312.400390625,10323.982421875
2020-06-30,10302.099609375,10493.5830078125
2020-07-01,10430.0498046875,10410.638671875
2020-07-02,10551.7001953125,10456.7119140625
2020-07-03,10607.349609375,10514.8466796875
2020-07-06,10763.650390625,10696.701171875
2020-07-07,10799.650390625,10735.1787109375
2020-07-08,10705.75,10876.4638671875
2020-07-09,10813.4501953125,10873.5224609375
2020-07-10,10768.0498046875,10837.974609375
2020-07-13,10802.7001953125,10887.185546875
2020-07-14,10607.349609375,10881.76953125
2020-07-15,10618.2001953125,10945.533203125
2020-07-16,10739.9501953125,10747.7666015625
2020-07-17,10901.7001953125,10793.96875
2020-07-20,11022.2001953125,10841.765625
2020-07-21,11162.25,11016.0849609375
2020-07-22,11132.599609375,11169.93359375
2020-07-23,11215.4501953125,11283.83203125
2020-07-24,11194.150390625,11244.107421875
2020-07-27,11131.7998046875,11261.349609375
2020-07-28,11300.5498046875,11268.53125
2020-07-29,11202.849609375,11264.203125
2020-07-30,11102.150390625,11365.5078125
2020-07-31,11073.4501953125,11363.052734375
2020-08-03,10891.599609375,11269.5732421875
2020-08-04,11095.25,11194.388671875
2020-08-05,11101.650390625,11076.9921875
2020-08-06,11200.150390625,11179.0634765625
2020-08-07,11214.0498046875,11323.5126953125
2020-08-10,11270.150390625,11342.2392578125
2020-08-11,11322.5,11324.7890625
2020-08-12,11308.400390625,11418.275390625
2020-08-13,11300.4501953125,11460.8876953125
2020-08-14,11178.400390625,11399.9248046875
2020-08-17,11247.099609375,11434.5537109375
2020-08-18,11385.349609375,11338.25
2020-08-19,11408.400390625,11338.9951171875
2020-08-20,11312.2001953125,11497.6005859375
2020-08-21,11371.599609375,11586.3173828125
2020-08-24,11466.4501953125,11424.6552734375
2020-08-25,11472.25,11518.83984375
2020-08-26,11549.599609375,11595.146484375
2020-08-27,11559.25,11610.24609375
2020-08-28,11647.599609375,11645.6298828125
2020-08-31,11387.5,11707.650390625
2020-09-01,11470.25,11758.7353515625
2020-09-02,11535.0,11614.513671875
2020-09-03,11527.4501953125,11538.8046875
2020-09-04,11333.849609375,11655.3037109375
2020-09-07,11355.0498046875,11702.94140625
2020-09-08,11317.349609375,11468.21484375
2020-09-09,11278.0,11466.14453125
2020-09-10,11449.25,11517.4013671875
2020-09-11,11464.4501953125,11388.7548828125
2020-09-14,11440.0498046875,11589.8974609375
2020-09-15,11521.7998046875,11626.447265625
2020-09-16,11604.5498046875,11600.142578125
2020-09-17,11516.099609375,11618.154296875
2020-09-18,11504.9501953125,11714.392578125
2020-09-21,11250.5498046875,11653.615234375
2020-09-22,11153.650390625,11631.125
2020-09-23,11131.849609375,11442.828125
2020-09-24,10805.5498046875,11289.93359375
2020-09-25,11050.25,11303.951171875
2020-09-28,11227.5498046875,11021.2412109375
2020-09-29,11222.400390625,11165.1298828125
2020-09-30,11247.5498046875,11423.2001953125
2020-10-01,11416.9501953125,11420.154296875
2020-10-05,11503.349609375,11365.3916015625
2020-10-06,11662.400390625,11539.9306640625
2020-10-07,11738.849609375,11646.8974609375
2020-10-08,11834.599609375,11748.8427734375
2020-10-09,11914.2001953125,11809.1884765625
2020-10-12,11930.9501953125,11949.177734375
2020-10-13,11934.499999999998,11966.9013671875
2020-10-14,11971.0498046875,12033.275390625
2020-10-15,11680.349609375,12019.525390625
2020-10-16,11762.4501953125,12018.6005859375
2020-10-19,11873.049804687498,11894.8798828125
2020-10-20,11896.799804687498,11826.8203125
2020-10-21,11937.650390625,12041.8974609375
2020-10-22,11896.450195312498,12042.2529296875
2020-10-23,11930.349609375,12041.3466796875
2020-10-26,11767.749999999998,12004.955078125
2020-10-27,11889.400390624998,12078.2783203125
2020-10-28,11729.599609375,11924.953125
2020-10-29,11670.7998046875,11951.9814453125
2020-10-30,11642.400390625,11937.57421875
2020-11-02,11669.150390625,11780.0
2020-11-03,11813.499999999998,11795.13671875
2020-11-04,11908.499999999998,11816.7236328125
2020-11-05,12120.299804687498,11962.7412109375
2020-11-06,12263.549804687498,12012.1142578125
2020-11-09,12461.0498046875,12253.4501953125
2020-11-10,12631.099609374998,12339.21875
2020-11-11,12749.150390624998,12542.0673828125
2020-11-12,12690.7998046875,12662.498046875
2020-11-13,12719.950195312498,12754.7626953125
2020-11-17,12874.2001953125,12730.8662109375
2020-11-18,12938.25,12735.998046875
2020-11-19,12771.7001953125,12981.353515625
2020-11-20,12859.0498046875,12974.486328125
2020-11-23,12926.4501953125,12884.748046875
2020-11-24,13055.150390625,12903.4833984375
2020-11-25,12858.400390625,13034.998046875
2020-11-26,12987.0,13157.0458984375
2020-11-27,12968.9501953125,13035.3232421875
2020-12-01,13109.0498046875,12991.564453125
2020-12-02,13113.749999999998,13103.466796875
2020-12-03,13133.900390625,13189.2724609375
2020-12-04,13258.5498046875,13187.443359375
2020-12-07,13355.749999999998,13267.3935546875
2020-12-08,13392.9501953125,13324.2548828125
2020-12-09,13529.099609374998,13421.359375
2020-12-10,13478.2998046875,13474.17578125
2020-12-11,13513.849609375,13595.2275390625
2020-12-14,13558.150390625,13527.451171875
2020-12-15,13567.849609374998,13568.671875
2020-12-16,13682.700195312498,13631.7373046875
2020-12-17,13740.7001953125,13614.6865234375
2020-12-18,13760.549804687498,13767.4130859375
2020-12-21,13328.400390625,13820.6591796875
2020-12-22,13466.299804687498,13804.6669921875
2020-12-23,13601.099609375,13433.9921875
2020-12-24,13749.25,13442.505859375
2020-12-28,13873.2001953125,13720.7705078125
2020-12-29,13932.599609374998,13870.4619140625
2020-12-30,13981.9501953125,13967.7958984375
2020-12-31,13981.749999999998,13991.4951171875
2021-01-04,14132.900390625,14003.275390625
2021-01-05,14199.5,14036.240234375
2021-01-06,14146.25,14147.37109375
2021-01-07,14137.349609375,14210.0185546875
2021-01-08,14347.249999999998,14200.517578125
2021-01-11,14484.750000000002,14226.84375
2021-01-12,14563.450195312498,14377.9541015625
2021-01-13,14564.849609375002,14536.8798828125
2021-01-14,14595.599609375,14563.5009765625
2021-01-15,14433.700195312498,14582.5517578125
2021-01-18,14281.2998046875,14580.8623046875
2021-01-19,14521.150390625,14497.568359375
2021-01-20,14644.700195312498,14348.9384765625
2021-01-21,14590.349609375,14557.939453125
2021-01-22,14371.900390624998,14718.9267578125
2021-01-25,14238.900390625,14684.384765625
2021-01-27,13967.5,14458.0537109375
2021-01-28,13817.5498046875,14353.921875
2021-01-29,13634.599609375,14099.8486328125
2021-02-01,14281.2001953125,13896.8994140625
2021-02-02,14647.849609375,13907.201171875
2021-02-03,14789.9501953125,14242.947265625
2021-02-04,14895.650390625,14835.671875
2021-02-05,14924.25,14791.2265625
2021-02-08,15115.7998046875,14812.482421875
2021-02-09,15109.299804687502,14918.22265625
2021-02-10,15106.5,15093.02734375
2021-02-11,15173.2998046875,15114.2880859375
2021-02-12,15163.2998046875,15041.3857421875
2021-02-15,15314.700195312502,15140.8798828125
2021-02-16,15313.450195312502,15182.83984375
2021-02-17,15208.900390624998,15329.18359375
2021-02-18,15118.950195312502,15339.2587890625
2021-02-19,14981.75,15214.5380859375
2021-02-22,14675.700195312498,15156.40625
2021-02-23,14707.7998046875,15023.6318359375
2021-02-24,14982.0,14807.22265625
2021-02-25,15097.349609374998,14818.3193359375
2021-02-26,14529.150390624998,14935.0712890625
2021-03-01,14761.5498046875,15262.5732421875
2021-03-02,14919.099609374998,14616.13671875
2021-03-03,15245.599609375,14788.16796875
2021-03-04,15080.749999999998,15005.4208984375
2021-03-05,14938.099609375002,15261.634765625
2021-03-08,14956.2001953125,15087.6689453125
2021-03-09,15098.400390625,14944.96484375
2021-03-10,15174.7998046875,15027.4072265625
2021-03-12,15030.9501953125,15100.8759765625
2021-03-15,14929.5,15228.3955078125
2021-03-16,14910.450195312498,15118.0205078125
2021-03-17,14721.299804687502,14887.294921875
2021-03-18,14557.849609375,15012.7705078125
2021-03-19,14743.999999999998,14843.7958984375
2021-03-22,14736.400390625002,14686.568359375
2021-03-23,14814.75,14687.10546875
2021-03-24,14549.400390625,14849.0166015625
2021-03-25,14324.900390625,14903.0546875
2021-03-26,14507.2998046875,14655.3095703125
2021-03-30,14845.099609375,14423.1552734375
2021-03-31,14690.700195312498,14611.5673828125
2021-04-01,14867.349609375,14913.712890625
2021-04-05,14637.799804687502,14798.9931640625
2021-04-06,14683.5,14850.529296875
2021-04-07,14819.0498046875,14667.62890625
2021-04-08,14944.299804687498,14721.4443359375
